Tree #,Month,Cone Stage,Scale Thickness (mm),Seed #,Conopthorus sp. (Beetle larva) ,Megastigmus (Wasp),Midge,Pinyon bore moth,Spider ,Unknown Seed insect,Comments,name,Cone Stage,,1,Young small cones,,,,,,,,,,,,,,
9,January,1,3.5,0,1,0,0,0,0,0,Entire center of cone was frass. Beatle found inside,SI,,,,,,,,,,,,,,,,,,
7,January,2,6,0,0,0,0,0,0,0,,MBF,,,,,,,,,,,,,,,,,,
7,January,2,4,0,0,0,0,0,0,0,very sappy,MBF,,,,,,,,,,,,,,,,,,
7,January,2,5.5,0,0,0,0,0,0,0,,MBF,,,,,,,,,,,,,,,,,,
7,January,2,5,0,0,0,0,0,0,0,,MBF,,,,,,,,,,,,,,,,,,
7,January,3,4.5,0,0,1,0,0,1,0,"1spider, and one unidentified in a cocoon",MBF,,,,,,,,,,,,,,,,,,
7,January,3,4,0,0,0,0,0,0,0,,MBF,,,,,,,,,,,,,,,,,,
15,January,1,4,0,1,0,0,0,0,0,"silk present, 3 non viable eaten seeds, lots of frass. cone was falling apart in bag",MBF,,,,,,,,,,,,,,,,,,
15,January,2,3,1,0,0,0,0,0,0,silk present,MBF,,,,,,,,,,,,,,,,,,
15,January,1,4,21,0,0,0,0,0,0,seed number is not a mistake. Tons of seeds!,MBF,,,,,,,,,,,,,,,,,,
15,January,3,3,0,0,0,0,0,0,0,a little silk,MBF,,,,,,,,,,,,,,,,,,
15,January,2,3,0,0,0,0,0,0,0,silk present. 1 non viable seed,MBF,,,,,,,,,,,,,,,,,,
15,January,1,3.5,0,0,0,0,0,0,0,17 eaten seed cases. frass,MBF,,,,,,,,,,,,,,,,,,
6,January,3,4,0,0,1,0,0,1,0,part of 1 spider found. silk present,MBF,,,,,,,,,,,,,,,,,,
6,January,2,4,0,0,0,1,0,1,0,1 darker spider and 1 unidenitfied..mosquito?,MBF,,,,,,,,,,,,,,,,,,
6,January,2,4,0,0,1,0,0,0,0,2 non viable seeds. silk present. collected silk lump...eggs?,MBF,,,,,,,,,,,,,,,,,,
